Date,Price
2024-05-27 17:57:18,68619.2
2024-05-27 17:58:21,68604
2024-05-27 17:59:22,68603
2024-05-27 18:00:24,68563.1
2024-05-27 18:01:25,68567.4
2024-05-27 18:02:28,68519.4
2024-05-27 18:03:29,68527.3
2024-05-27 18:04:30,68514.8
2024-05-27 18:05:31,68502.5
2024-05-27 18:06:33,68498.8
2024-05-27 18:07:35,68542.7
2024-05-27 18:08:36,68548.3
2024-05-27 18:13:38,68569
2024-05-27 18:14:40,68588
2024-05-27 18:15:41,68592
2024-05-27 18:16:42,68573.2
2024-05-27 18:17:43,68552.1
2024-05-27 18:18:45,68575
2024-05-27 18:19:46,68574.5
2024-05-27 18:20:47,68556.2
2024-05-27 18:21:48,68577.8
2024-05-27 18:22:50,68560.9
2024-05-27 18:23:52,68560.9
2024-05-27 18:24:55,68549.8
2024-05-27 18:25:57,68523
2024-05-27 18:26:58,68499.7
2024-05-27 18:27:59,68470.8
2024-05-27 18:29:00,68481.4
2024-05-27 18:30:02,68459.1
2024-05-27 18:31:04,68441.2
2024-05-27 18:32:05,68440
2024-05-27 18:33:07,68430.1
2024-05-27 18:34:09,68467.7
2024-05-27 18:35:11,68499.1
2024-05-27 18:36:13,68482.9
2024-05-27 18:37:15,68500
2024-05-27 18:38:16,68513.4
2024-05-27 18:39:18,68507.5
2024-05-27 18:40:20,68502.8
2024-05-27 18:41:22,68500
2024-05-27 18:42:23,68487.7
2024-05-27 18:43:25,68483.5
2024-05-27 18:44:27,68459.1
2024-05-27 18:45:30,68468.9
2024-05-27 18:46:31,68461.3
2024-05-27 18:47:33,68477.2
2024-05-27 18:48:35,68517.6
2024-05-27 18:49:37,68519.8
2024-05-27 18:50:38,68550
2024-05-27 18:51:40,68550
2024-05-27 18:52:42,68557.6
2024-05-27 18:53:44,68552.1
2024-05-27 18:54:45,68573.2
2024-05-27 18:55:48,68573.5
2024-05-27 18:56:50,68585.5
2024-05-27 18:57:52,68581.4
2024-05-27 18:58:53,68579.4
2024-05-27 18:59:55,68574.7
2024-05-27 19:00:57,68545.8
2024-05-27 19:01:59,68579.9
2024-05-27 19:03:01,68621.3
2024-05-27 19:04:02,68640.4
2024-05-27 19:05:04,68654.5
2024-05-27 19:06:07,68656
2024-05-27 19:07:08,68650
2024-05-27 19:08:10,68631.1
2024-05-27 19:09:12,68605.2
2024-05-27 19:10:13,68566.4
2024-05-27 19:11:15,68588.4
2024-05-27 19:12:17,68593.5
2024-05-27 19:13:18,68598.4
2024-05-27 19:14:20,68606.8
2024-05-27 19:15:22,68614.8
2024-05-27 19:16:25,68607
2024-05-27 19:17:26,68614.8
2024-05-27 19:18:28,68614.7
2024-05-27 19:19:30,68590.1
2024-05-27 19:20:32,68587.5
2024-05-27 19:21:34,68589.9
2024-05-27 19:22:35,68586
2024-05-27 19:23:40,68562.8
2024-05-27 19:24:41,68554
2024-05-27 19:25:43,68538.5
2024-05-27 19:26:46,68541.2
2024-05-27 19:27:48,68526.1
2024-05-27 19:28:50,68521.1
2024-05-27 19:29:51,68481.6
2024-05-27 19:30:53,68492.5
2024-05-27 19:31:55,68509.7
2024-05-27 19:32:56,68509.4
2024-05-27 19:33:58,68500
2024-05-27 19:35:00,68497.8
2024-05-27 19:36:02,68480.1
2024-05-27 19:37:04,68436.3
2024-05-27 19:38:06,68369
2024-05-27 19:39:08,68336.5
2024-05-27 19:40:09,68314.4
2024-05-27 19:41:11,68291
2024-05-27 19:42:13,68362.7
2024-05-27 19:43:15,68351.4
2024-05-27 19:44:17,68358.3
2024-05-27 19:45:18,68356.2
2024-05-27 19:46:20,68386.5
2024-05-27 19:47:23,68391.6
2024-05-27 19:48:24,68324
2024-05-27 19:49:26,68341.2
2024-05-27 19:50:28,68369.4
2024-05-27 19:51:29,68398.2
2024-05-27 19:52:31,68404.1
2024-05-27 19:53:32,68450.3
2024-05-27 19:54:34,68448.6
2024-05-27 19:55:36,68443.1
2024-05-27 19:56:38,68449.3
2024-05-27 19:57:40,68443
2024-05-27 19:58:42,68445.6
