Date,Price,AHR999
2024/05/29 01:46:12,68056.7,1.142950937317473
2024/05/29 01:47:13,68052.4,1.142806512631321
2024/05/29 01:48:13,68094.3,1.1442142024083646
2024/05/29 01:49:13,68054.8,1.1428871206332218
2024/05/29 01:50:13,67964.9,1.1398696203539542
2024/05/29 01:51:14,67959.2,1.1396784338920043
2024/05/29 01:52:14,67943.6,1.139155268728484
2024/05/29 01:53:16,67964.5,1.1398562032369888
2024/05/29 01:54:17,67907,1.1379283142198295
2024/05/29 01:55:18,67878.6,1.136976706689023
2024/05/29 01:56:19,67862.4,1.1364340666023462
2024/05/29 01:57:19,67831.3,1.135392694621736
2024/05/29 01:58:19,67792.5,1.1340941602529573
2024/05/29 01:59:20,67761.4,1.1330538611578447
2024/05/29 02:00:21,67803.9,1.1344756113123222
2024/05/29 02:01:22,67819.3,1.134991006694037
2024/05/29 02:02:22,67824.2,1.1351550206795151
2024/05/29 02:03:23,67871.2,1.1367288179874169
2024/05/29 02:04:23,67881.5,1.1370738596321823
2024/05/29 02:05:23,67888,1.137291631306339
2024/05/29 02:06:23,67919.2,1.1383372255986612
2024/05/29 02:07:24,67873.7,1.136812561147505
2024/05/29 02:08:24,67882.9,1.1371207625385507
2024/05/29 02:09:24,67909.4,1.1380087499986076
2024/05/29 02:10:25,67899.4,1.1376736196746027
2024/05/29 02:11:26,67904.8,1.137854583919891
2024/05/29 02:12:27,67922.2,1.138437788829605
2024/05/29 02:13:27,67935,1.138866908520977
2024/05/29 02:14:28,67934.9,1.1388635557099946
2024/05/29 02:15:28,67946.5,1.139252514702531
2024/05/29 02:16:28,67963.2,1.139812598152204
2024/05/29 02:17:28,67963.3,1.1398159523598834
2024/05/29 02:18:29,67939.1,1.1390043780205552
2024/05/29 02:19:29,67939.8,1.139027849252057
2024/05/29 02:20:29,67959.9,1.1397019120675091
2024/05/29 02:21:29,67925.7,1.1385551182129718
2024/05/29 02:22:30,67873.2,1.136795812268721
2024/05/29 02:23:30,67873.8,1.136815910938068
2024/05/29 02:24:30,67849,1.1359853140376583
2024/05/29 02:25:30,67869.1,1.1366584761167058
2024/05/29 02:26:31,67898.6,1.1376468113807434
2024/05/29 02:27:31,67978.6,1.140329204277867
2024/05/29 02:28:31,67975.1,1.1402117835169463
2024/05/29 02:29:31,67977,1.1402755254655619
2024/05/29 02:30:32,67902.8,1.1377875584473292
2024/05/29 02:31:32,67891.3,1.1374022002905635
2024/05/29 02:32:32,67898,1.1376267053676319
2024/05/29 02:33:32,67857.1,1.136256564322637
2024/05/29 02:34:33,67848.1,1.1359551771159124
2024/05/29 02:35:33,67785.7,1.1338666585819026
2024/05/29 02:36:34,67557.5,1.126245203485649
2024/05/29 02:37:35,67450,1.1226638088882863
2024/05/29 02:38:35,67460,1.122996721276964
2024/05/29 02:39:36,67352,1.1194038792535528
2024/05/29 02:40:36,67442.4,1.1224108284803487
2024/05/29 02:41:36,67452.2,1.1227370453792858
2024/05/29 02:42:37,67444,1.1224640851446424
2024/05/29 02:43:37,67466.2,1.1232031517431496
2024/05/29 02:44:38,67511.9,1.124725329338022
2024/05/29 02:45:39,67577.2,1.1269021332244926
2024/05/29 02:46:39,67607.8,1.1279229216720956
2024/05/29 02:47:39,67618,1.1282632871822182
2024/05/29 02:48:40,67645.9,1.129194549269995
2024/05/29 02:49:40,67649.1,1.1293013852504294
2024/05/29 02:50:40,67584.6,1.12714894819666
2024/05/29 02:51:41,67532.5,1.1254118120656929
2024/05/29 02:52:41,67596.9,1.127559254498388
2024/05/29 02:53:41,67647.7,1.1292546438871383
2024/05/29 02:54:42,67697.2,1.1309078724845303
2024/05/29 02:55:43,67781.9,1.1337395352348827
2024/05/29 02:56:43,67813,1.1347801489816791
2024/05/29 02:57:43,67810.7,1.1347031740629665
2024/05/29 02:58:44,67849.8,1.1360121027481462
2024/05/29 02:59:44,67902.4,1.1377741535897121
2024/05/29 03:00:44,67957,1.1396046469147867
